family,method,total_cnot_budget,shots,ideal_mse,ideal_rmse,noisy_mse,noisy_rmse,noisy_bias_squared
jordan_gamma_1,split,1370.8385261355822,171,0.014659514083967791,0.1210764803088023,0.05748987375777762,0.2397704605612994,0.041186222853296255
jordan_gamma_1,split,1399.969974833705,174,0.01440676384114076,0.12002817936276781,0.05720877632839001,0.23918356199452756,0.041186222853296255
jordan_gamma_1,split,1429.7204908304714,178,0.014083016339092654,0.11867188520914569,0.05684871894692723,0.23842969392868674,0.041186222853296255
jordan_gamma_1,split,1460.1032298162906,182,0.013773499496475232,0.11736055340903617,0.05650448826355073,0.23770672742594123,0.041186222853296255
jordan_gamma_1,split,1491.1316270508398,186,0.013477295206228453,0.11609175339458205,0.05617506320096461,0.23701279121803662,0.041186222853296255
jordan_gamma_1,split,1522.819403304134,190,0.013193562675571013,0.11486323465570267,0.055859508667329485,0.23634616279374937,0.041186222853296255
jordan_gamma_1,split,1555.1805709238663,194,0.012921530455456146,0.11367290994540497,0.05555696669178241,0.23570525384849275,0.041186222853296255
jordan_gamma_1,split,1588.2294400316691,198,0.012660489436154002,0.1125188403608658,0.05526664863443925,0.23508859741476032,0.041186222853296255
jordan_gamma_1,split,1621.9806248510506,202,0.01240978667504204,0.111399222057616,0.05498782832194137,0.23449483645048855,0.041186222853296255
jordan_gamma_1,split,1656.449050169821,207,0.012110033373712524,0.11004559679384052,0.05465445620917217,0.2337829254012623,0.041186222853296255
jordan_gamma_1,split,1691.649957939832,211,0.01188045928131987,0.10899751961086027,0.05439913424981907,0.23323621984978893,0.041186222853296255
jordan_gamma_1,split,1727.5989140169766,215,0.011659427480737174,0.10797882885425816,0.0541533126424419,0.2327086432482513,0.041186222853296255
jordan_gamma_1,split,1764.311815044419,220,0.0113944404925386,0.10674474456636543,0.053858606056324955,0.2320745700336962,0.041186222853296255
jordan_gamma_1,split,1801.804895482089,225,0.011141230703815522,0.1055520284211323,0.053576997540702095,0.2314670549791095,0.041186222853296255
jordan_gamma_1,split,1840.0947347855779,230,0.01089903003634127,0.10439841970231767,0.05330763287358457,0.23088445784327835,0.041186222853296255
jordan_gamma_1,split,1879.198264737575,234,0.010712721830591847,0.10350227934974111,0.05310042928349418,0.23043530390001915,0.041186222853296255
jordan_gamma_1,split,1919.132776935104,239,0.010488606311123399,0.102413897060523,0.0528511781029461,0.22989384094174012,0.041186222853296255
jordan_gamma_1,split,1959.9159304358843,244,0.010273675853928247,0.10135914292222604,0.05261214213471557,0.229373368407746,0.041186222853296255
jordan_gamma_1,split,2001.565759567167,250,0.010027107633433969,0.10013544643848135,0.05233792007196151,0.22877482394695775,0.041186222853296255
jordan_gamma_1,split,2044.1006819005238,255,0.009830497679837225,0.09914886625593469,0.05211925934218376,0.22829642866716895,0.041186222853296255
jordan_gamma_1,split,2087.5395063961055,260,0.009641449647532663,0.098190883729258,0.05190900864047439,0.22783548591137945,0.041186222853296255
jordan_gamma_1,split,2131.901441719966,266,0.009423973339693581,0.09707715148114711,0.05166714129189142,0.2273040723169988,0.041186222853296255
jordan_gamma_1,split,2177.2061047381517,272,0.009216091574847398,0.0960004769511454,0.05143594456162829,0.22679493945330503,0.041186222853296255
jordan_gamma_1,split,2223.473529191285,277,0.009049736131258096,0.09513010107877577,0.05125093153440208,0.22638668585939872,0.041186222853296255
jordan_gamma_1,split,2270.7241745534825,283,0.008857868934128947,0.0941162522316361,0.05103754548462598,0.22591490761927593,0.041186222853296255
jordan_gamma_1,split,2318.9789350795586,289,0.008673968541032846,0.09313414272452851,0.050833019755255816,0.22546179222931725,0.041186222853296255
jordan_gamma_1,split,2368.2591490444647,296,0.008468840906616528,0.0920263055143285,0.05060488604473651,0.2249552978810157,0.041186222853296255
jordan_gamma_1,split,2418.5866081790828,302,0.008300585789266532,0.09110755067098737,0.050417760285966166,0.2245389950230609,0.041186222853296255
jordan_gamma_1,split,2469.9835673065436,308,0.008138886066099001,0.09021577504017245,0.050237925141173895,0.22413818313971828,0.041186222853296255
jordan_gamma_1,split,2522.4727541833063,315,0.007958021931296801,0.08920774591534528,0.050036776201443284,0.22368901672063224,0.041186222853296255
jordan_gamma_1,split,2576.0773795493983,322,0.00778502145452948,0.08823276859834718,0.04984437286778791,0.223258533695328,0.041186222853296255
jordan_gamma_1,split,2630.821147392205,328,0.007642612525483208,0.08742203684130911,0.049685992074839896,0.22290354881616375,0.041186222853296255
jordan_gamma_1,split,2686.728265428376,335,0.007482916144353709,0.08650385045969751,0.049508384956777785,0.2225047976039568,0.041186222853296255
jordan_gamma_1,split,2743.8234558085023,342,0.007329757041983896,0.08561400026855359,0.04933804830553694,0.2221216970616264,0.041186222853296255
jordan_gamma_1,split,2802.1319660492522,350,0.007162219738167121,0.08462989860662201,0.04915172086662858,0.22170187384555093,0.041186222853296255
jordan_gamma_1,split,2861.679580197835,357,0.007021784057026589,0.08379608616771185,0.04899553463107304,0.22134934974169912,0.041186222853296255
jordan_gamma_1,split,2922.492630233721,365,0.006867881940708198,0.08287268513031419,0.04882437163320397,0.22096237605801575,0.041186222853296255
jordan_gamma_1,split,2984.59800771264,373,0.006720581523749309,0.08197915298262912,0.04866055074784401,0.22059136598662246,0.041186222853296255
jordan_gamma_1,split,3048.0231756580592,381,0.0065794669510721585,0.081113913424715,0.048503609479717026,0.22023535020454146,0.041186222853296255
jordan_gamma_1,split,3112.796180705332,389,0.00644415657675705,0.08027550421365816,0.048353123379430735,0.21989343641734907,0.041186222853296255
jordan_gamma_1,split,3178.945665503924,397,0.006314299517275799,0.07946256676747737,0.04820870221013836,0.21956480184705918,0.041186222853296255
jordan_gamma_1,split,3246.5008813832214,405,0.006189572613230845,0.07867383690421388,0.04806998656852172,0.2192486865833447,0.041186222853296255
jordan_gamma_1,split,3315.4917012874703,414,0.006055016686856262,0.07781398773264522,0.04792033953123421,0.21890714819583715,0.041186222853296255
jordan_gamma_1,split,3385.948632985606,423,0.005926186544582724,0.07698172864116994,0.04777706045298021,0.21857964327214968,0.041186222853296255
